Country,DevType,YearsCodePro,Salary,Count
Canada,Academic researcher,0-2,63024.09090909091,22
Canada,Academic researcher,10-15,213995.66666666666,6
Canada,Academic researcher,15-20,33334.333333333336,3
Canada,Academic researcher,2-5,68797.35714285714,28
Canada,Academic researcher,20+,183378.11111111112,9
Canada,Academic researcher,5-7,275955.0,8
Canada,Academic researcher,7-10,208023.41666666666,12
Canada,Data or business analyst,0-2,97900.0,27
Canada,Data or business analyst,10-15,130078.6,15
Canada,Data or business analyst,15-20,210633.92307692306,13
Canada,Data or business analyst,2-5,128453.52777777778,36
Canada,Data or business analyst,20+,101841.32,25
Canada,Data or business analyst,5-7,64378.8,15
Canada,Data or business analyst,7-10,171620.2380952381,21
Canada,Data scientist & ML,0-2,111004.93333333333,15
Canada,Data scientist & ML,10-15,270332.2,10
Canada,Data scientist & ML,15-20,117927.28571428571,7
Canada,Data scientist & ML,2-5,77927.55,20
Canada,Data scientist & ML,20+,180912.83333333334,12
Canada,Data scientist & ML,5-7,182496.66666666666,9
Canada,Data scientist & ML,7-10,50233.0,5
Canada,Database administrator,0-2,96114.34615384616,26
Canada,Database administrator,10-15,187385.375,24
Canada,Database administrator,15-20,112442.44,25
Canada,Database administrator,2-5,179939.69047619047,42
Canada,Database administrator,20+,128927.36666666667,30
Canada,Database administrator,5-7,122719.875,16
Canada,Database administrator,7-10,105657.88,25
Canada,DevOps specialist,0-2,58055.5,4
Canada,DevOps specialist,10-15,99239.66666666667,3
Canada,DevOps specialist,15-20,107826.25,4
Canada,DevOps specialist,2-5,65651.25,4
Canada,DevOps specialist,20+,108782.5,2
Canada,DevOps specialist,5-7,82255.0,4
Canada,DevOps specialist,7-10,72827.0,5
Canada,"Developer, back-end",0-2,117427.91071428571,112
Canada,"Developer, back-end",10-15,154869.06603773584,106
Canada,"Developer, back-end",15-20,169950.37313432837,67
Canada,"Developer, back-end",2-5,116927.0245398773,163
Canada,"Developer, back-end",20+,165334.98734177215,79
Canada,"Developer, back-end",5-7,117333.7435897436,78
Canada,"Developer, back-end",7-10,142780.3873873874,111
Canada,"Developer, front-end",0-2,75570.97142857143,35
Canada,"Developer, front-end",10-15,104149.42857142857,7
Canada,"Developer, front-end",15-20,180613.5,10
Canada,"Developer, front-end",2-5,146003.33333333334,39
Canada,"Developer, front-end",20+,104229.28571428571,7
Canada,"Developer, front-end",5-7,151247.81818181818,22
Canada,"Developer, front-end",7-10,67814.5,12
Canada,"Developer, full-stack",0-2,180657.70476190475,105
Canada,"Developer, full-stack",10-15,179497.58333333334,48
Canada,"Developer, full-stack",15-20,139914.32432432432,37
Canada,"Developer, full-stack",2-5,108532.35042735042,117
Canada,"Developer, full-stack",20+,162707.7142857143,14
